player,team,position,games_played,current_points,avg_points_per_game,points_per_90,total_goal_involvement,recent_form_3_games,consistency,projected_simple,projected_form,projected_efficiency,projected_expected,final_projection,value_rating,value,points_per_million
Noah Okafor,LEE,MID,9,40,4.44,5.58,4,3.33,3.43,168.72000000000003,136.66666666666669,212.04,80.6,149.5066666666667,5.565678854441971,11.898295929497682,12.565384787246463
Stefanos Tzimas,BHA,FWD,9,13,1.44,10.96,2,2.0,1.51,54.72,71.0,416.48,25.115555555555552,148.92033333333336,6.441215558663141,10.240673440651854,14.54204493448373
Bruno Guimarães Rodriguez Moura,NEW,MID,9,38,4.22,4.24,4,6.0,5.61,160.35999999999999,212.0,161.12,60.55555555555556,148.5088888888889,5.616477530594988,11.711992188476334,12.680070691560895
Morgan Rogers,AVL,MID,9,39,4.33,4.38,6,5.67,1.66,164.54,203.33333333333334,166.44,58.33333333333333,148.16166666666666,6.587943796476477,9.961582139212116,14.873306729405245
Jaidon Anthony,BUR,MID,9,45,5.0,5.22,5,3.0,3.5,190.0,132.0,198.35999999999999,66.52444444444444,146.7211111111111,5.925645756384782,10.967288629475009,13.378065998627271
Pedro Lomba Neto,CHE,MID,9,26,2.89,6.42,2,5.33,3.44,109.82000000000001,180.66666666666666,243.96,46.23555555555556,145.17055555555558,6.611377726589129,9.725880284073174,14.926212467706678
Bryan Mbeumo,MUN,MID,9,35,3.89,4.34,3,5.67,2.52,147.82,199.33333333333334,164.92,68.25333333333333,145.08166666666665,15.522612884327932,4.139901996347196,35.04471042905801
Alex Iwobi,FUL,MID,9,43,4.78,5.54,4,2.67,4.71,181.64000000000001,120.33333333333333,210.52,67.36,144.96333333333334,9.322112544947652,6.887889574373186,21.046117503491676
Eberechi Eze,ARS,MID,9,35,3.89,5.24,5,3.67,1.76,147.82,141.33333333333331,199.12,85.13777777777777,143.35277777777776,6.880740194523306,9.228121499396128,15.534340091551517
Mathys Tel,TOT,MID,9,25,2.78,8.05,2,3.67,3.63,105.63999999999999,131.33333333333331,305.90000000000003,29.897777777777776,143.1927777777778,10.21061298590766,6.211716830766731,23.05204530067142
